path,stratum,confidence,reason,imports_surface
agent/__init__.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/agent_init.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/agent_runtime_helpers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/anthropic_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/async_utils.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/aux_accounting.py,S6,HIGH,product/consumer surface (aux_accounting),
agent/auxiliary_client.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/azure_identity_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/backend_identity.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/battery.py,S6,HIGH,product/consumer surface (battery),
agent/bedrock_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/bounded_response.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/browser_provider.py,S5,HIGH,edge capability (browser),
agent/browser_registry.py,S5,HIGH,edge capability (browser),
agent/chat_completion_helpers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/codex_responses_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/codex_runtime.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/coding_context.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/command_token_source.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/context_breakdown.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/context_compressor.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/context_engine.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/context_references.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/conversation_compression.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/conversation_loop.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/copilot_acp_client.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/credential_persistence.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/credential_pool.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/credential_sources.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/curator_backup.py,S6,HIGH,product/consumer surface (curator),
agent/deadline.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/delegation_context.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/display_provider.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/empty_response_guard.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/error_classifier.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/errors.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/estop.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/file_safety.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/gemini_native_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/gemini_schema.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/i18n.py,S6,HIGH,product/consumer surface (i18n),
agent/image_gen_provider.py,S5,HIGH,edge capability (image_gen),
agent/image_gen_registry.py,S5,HIGH,edge capability (image_gen),
agent/image_routing.py,S5,HIGH,edge capability (image_),
agent/insights.py,S6,HIGH,product/consumer surface (insight),
agent/interrupt_compat.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/iteration_budget.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/jiter_preload.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/kanban_stop.py,S5,HIGH,edge capability (kanban),
agent/learn_prompt.py,S6,HIGH,product/consumer surface (learn),
agent/learning_graph.py,S6,HIGH,product/consumer surface (learn),
agent/learning_graph_render.py,S6,HIGH,product/consumer surface (learn),
agent/learning_mutations.py,S6,HIGH,product/consumer surface (learn),
agent/lmstudio_reasoning.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/lsp/__init__.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/cli.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/client.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/eventlog.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/install.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/manager.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/protocol.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/range_shift.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/reporter.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/servers.py,S5,MEDIUM,LSP coding assistant (edge),
agent/lsp/workspace.py,S5,MEDIUM,LSP coding assistant (edge),
agent/manual_compression_feedback.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/markdown_tables.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/memory_manager.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/memory_provider.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/message_content.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/message_metadata.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/message_sanitization.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/moa_loop.py,S5,HIGH,edge capability (moa_),
agent/moa_trace.py,S5,HIGH,edge capability (moa_),
